,Language_ID,Language
0,xx,No Language
1,aa,Afar
2,af,Afrikaans
3,ak,Akan
4,an,Aragonese
5,as,Assamese
6,av,Avaric
7,ae,Avestan
8,ay,Aymara
9,az,Azerbaijani
10,ba,Bashkir
11,bm,Bambara
12,bi,Bislama
13,bo,Tibetan
14,br,Breton
15,ca,Catalan
16,cs,Czech
17,ce,Chechen
18,cu,Slavic
19,cv,Chuvash
20,kw,Cornish
21,co,Corsican
22,cr,Cree
23,cy,Welsh
24,da,Danish
25,de,German
26,dv,Divehi
27,dz,Dzongkha
28,eo,Esperanto
29,et,Estonian
30,eu,Basque
31,fo,Faroese
32,fj,Fijian
33,fi,Finnish
34,fr,French
35,fy,Frisian
36,ff,Fulah
37,gd,Gaelic
38,ga,Irish
39,gl,Galician
40,gv,Manx
41,gn,Guarani
42,gu,Gujarati
43,ht,Haitian; Haitian Creole
44,ha,Hausa
45,sh,Serbo-Croatian
46,hz,Herero
47,ho,Hiri Motu
48,hr,Croatian
49,hu,Hungarian
50,ig,Igbo
51,io,Ido
52,ii,Yi
53,iu,Inuktitut
54,ie,Interlingue
55,ia,Interlingua
56,id,Indonesian
57,ik,Inupiaq
58,is,Icelandic
59,it,Italian
60,jv,Javanese
61,ja,Japanese
62,kl,Kalaallisut
63,kn,Kannada
64,ks,Kashmiri
65,kr,Kanuri
66,kk,Kazakh
67,km,Khmer
68,ki,Kikuyu
69,rw,Kinyarwanda
70,ky,Kirghiz
71,kv,Komi
72,kg,Kongo
73,ko,Korean
74,kj,Kuanyama
75,ku,Kurdish
76,lo,Lao
77,la,Latin
78,lv,Latvian
79,li,Limburgish
80,ln,Lingala
81,lt,Lithuanian
82,lb,Letzeburgesch
83,lu,Luba-Katanga
84,lg,Ganda
85,mh,Marshall
86,ml,Malayalam
87,mr,Marathi
88,mg,Malagasy
89,mt,Maltese
90,mo,Moldavian
91,mn,Mongolian
92,mi,Maori
93,ms,Malay
94,my,Burmese
95,na,Nauru
96,nv,Navajo
97,nr,Ndebele
98,nd,Ndebele
99,ng,Ndonga
100,ne,Nepali
101,nl,Dutch
102,nn,Norwegian Nynorsk
103,nb,Norwegian Bokmål
104,no,Norwegian
105,ny,Chichewa; Nyanja
106,oc,Occitan
107,oj,Ojibwa
108,or,Oriya
109,om,Oromo
110,os,Ossetian; Ossetic
111,pi,Pali
112,pl,Polish
113,pt,Portuguese
114,qu,Quechua
115,rm,Raeto-Romance
116,ro,Romanian
117,rn,Rundi
118,ru,Russian
119,sg,Sango
120,sa,Sanskrit
121,si,Sinhalese
122,sk,Slovak
123,sl,Slovenian
124,se,Northern Sami
125,sm,Samoan
126,sn,Shona
127,sd,Sindhi
128,so,Somali
129,st,Sotho
130,es,Spanish
131,sq,Albanian
132,sc,Sardinian
133,sr,Serbian
134,ss,Swati
135,su,Sundanese
136,sw,Swahili
137,sv,Swedish
138,ty,Tahitian
139,ta,Tamil
140,tt,Tatar
141,te,Telugu
142,tg,Tajik
143,tl,Tagalog
144,th,Thai
145,ti,Tigrinya
146,to,Tonga
147,tn,Tswana
148,ts,Tsonga
149,tk,Turkmen
150,tr,Turkish
151,tw,Twi
152,ug,Uighur
153,uk,Ukrainian
154,ur,Urdu
155,uz,Uzbek
156,ve,Venda
157,vi,Vietnamese
158,vo,Volapük
159,wa,Walloon
160,wo,Wolof
161,xh,Xhosa
162,yi,Yiddish
163,za,Zhuang
164,zu,Zulu
165,ab,Abkhazian
166,zh,Mandarin
167,ps,Pushto
168,am,Amharic
169,ar,Arabic
170,bg,Bulgarian
171,cn,Cantonese
172,mk,Macedonian
173,el,Greek
174,fa,Persian
175,he,Hebrew
176,hi,Hindi
177,hy,Armenian
178,en,English
179,ee,Ewe
180,ka,Georgian
181,pa,Punjabi
182,bn,Bengali
183,bs,Bosnian
184,ch,Chamorro
185,be,Belarusian
186,yo,Yoruba
